County,2018,Jan18,Feb18,Mar18,Apr18,May18,Jun18,Jul18,Aug18,Sep18,Oct18,Nov18,Dec18
Adams,27.0,1.0,2.0,4.0,0.0,4.0,3.0,3.0,0.0,2.0,5.0,1.0,2.0
Allegheny,1003.0,71.0,77.0,99.0,122.0,93.0,58.0,95.0,69.0,57.0,89.0,57.0,116.0
Armstrong,22.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,5.0
Beaver,121.0,11.0,12.0,9.0,15.0,12.0,9.0,7.0,10.0,5.0,9.0,9.0,13.0
Bedford,12.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0
Berks,174.0,8.0,12.0,15.0,13.0,13.0,15.0,15.0,19.0,14.0,15.0,15.0,20.0
Blair,52.0,3.0,4.0,5.0,4.0,4.0,4.0,7.0,3.0,6.0,7.0,3.0,2.0
Bradford,19.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,1.0
Bucks,274.0,18.0,17.0,31.0,38.0,33.0,22.0,22.0,14.0,16.0,21.0,19.0,23.0
Butler,62.0,8.0,7.0,5.0,6.0,7.0,5.0,4.0,3.0,1.0,8.0,4.0,4.0
Cambria,80.0,14.0,2.0,10.0,8.0,5.0,2.0,6.0,9.0,9.0,3.0,5.0,7.0
Cameron,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Carbon,62.0,0.0,3.0,7.0,15.0,12.0,0.0,4.0,9.0,2.0,4.0,4.0,2.0
Centre,27.0,5.0,5.0,0.0,3.0,2.0,3.0,2.0,0.0,3.0,3.0,0.0,1.0
Chester,173.0,11.0,10.0,16.0,15.0,14.0,12.0,23.0,11.0,16.0,13.0,11.0,21.0
Clarion,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Clearfield,48.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,9.0,2.0,7.0,6.0,4.0
Clinton,12.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0
Columbia,44.0,2.0,2.0,5.0,4.0,2.0,4.0,6.0,7.0,0.0,4.0,4.0,4.0
Crawford,26.0,2.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,2.0,2.0,3.0,3.0
Cumberland,115.0,8.0,9.0,8.0,13.0,12.0,7.0,13.0,5.0,11.0,12.0,6.0,11.0
Dauphin,219.0,16.0,16.0,21.0,26.0,14.0,14.0,26.0,24.0,12.0,18.0,15.0,17.0
Delaware,336.0,14.0,22.0,38.0,35.0,30.0,34.0,30.0,21.0,25.0,37.0,14.0,36.0
Elk,16.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0
Erie,91.0,6.0,12.0,4.0,11.0,5.0,9.0,12.0,8.0,6.0,7.0,2.0,9.0
Fayette,105.0,12.0,12.0,9.0,17.0,8.0,4.0,12.0,4.0,7.0,7.0,4.0,9.0
Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin,68.0,2.0,6.0,10.0,8.0,7.0,6.0,7.0,3.0,5.0,8.0,5.0,1.0
Fulton,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene,14.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0
Huntingdon,13.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0
Indiana,22.0,0.0,0.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0
Jefferson,10.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0
Juniata,14.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,5.0
Lackawanna,165.0,3.0,8.0,12.0,19.0,8.0,12.0,22.0,11.0,16.0,18.0,12.0,24.0
Lancaster,320.0,18.0,31.0,30.0,33.0,33.0,20.0,32.0,19.0,22.0,27.0,20.0,35.0
Lawrence,42.0,0.0,1.0,4.0,4.0,1.0,1.0,7.0,4.0,4.0,6.0,4.0,6.0
Lebanon,71.0,5.0,9.0,8.0,7.0,4.0,5.0,7.0,12.0,4.0,2.0,5.0,3.0
Lehigh,249.0,14.0,14.0,23.0,37.0,30.0,13.0,23.0,29.0,20.0,21.0,10.0,15.0
Luzerne,288.0,14.0,14.0,21.0,38.0,20.0,27.0,28.0,26.0,27.0,32.0,9.0,32.0
Lycoming,23.0,1.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
McKean,14.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0
Mercer,68.0,5.0,7.0,9.0,10.0,0.0,3.0,8.0,6.0,8.0,8.0,2.0,2.0
Mifflin,12.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
Monroe,107.0,6.0,9.0,10.0,14.0,9.0,4.0,17.0,10.0,7.0,10.0,8.0,3.0
Montgomery,381.0,18.0,35.0,38.0,47.0,41.0,28.0,33.0,36.0,18.0,40.0,25.0,22.0
Montour,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Northampton,135.0,4.0,9.0,16.0,16.0,8.0,12.0,12.0,12.0,12.0,10.0,11.0,13.0
Northumberland,67.0,3.0,9.0,5.0,7.0,9.0,4.0,5.0,5.0,3.0,6.0,6.0,5.0
Perry,45.0,4.0,4.0,10.0,7.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0
Philadelphia,1831.0,144.0,147.0,214.0,235.0,144.0,130.0,176.0,101.0,127.0,139.0,94.0,180.0
Pike,22.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,4.0,2.0,3.0,2.0
Potter,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Schuylkill,86.0,5.0,6.0,7.0,16.0,6.0,3.0,11.0,9.0,4.0,7.0,5.0,7.0
Snyder,10.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0
Somerset,31.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
Sullivan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susquehanna,13.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
Tioga,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
Union,9.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0
Unknown,29.0,4.0,1.0,4.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,3.0,5.0
Venango,29.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,2.0,5.0,0.0,5.0
Warren,13.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0
Washington,84.0,5.0,5.0,6.0,9.0,7.0,6.0,7.0,9.0,7.0,7.0,9.0,7.0
Wayne,25.0,0.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0
Westmoreland,184.0,14.0,13.0,23.0,21.0,13.0,5.0,20.0,18.0,12.0,13.0,11.0,21.0
Wyoming,9.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
York,237.0,24.0,19.0,16.0,28.0,18.0,18.0,21.0,18.0,23.0,22.0,12.0,18.0
